"r_demo" "r_sex" "r_sexid" "r_sexact" "prop.r" "rp_demo" "rp_sex" "rp_sexid" "rp_sexact" "corrected_r" "corrected_rp" "cnr" "cnrp"
"95" "m_gay_low" "m" "gay" "low" 0.00632020664559923 "w_het_high" "w" "het" "high" NA NA NA NA
"96" "m_gay_low" "m" "gay" "low" 0.00632020664559923 "w_het_low" "w" "het" "low" NA NA NA NA
"97" "m_het_high" "m" "het" "high" 0.0697659819354498 "w_bi_high" "w" "bi" "high" 0.0529394235291956 1.52751174253796 0.00369337086561098 0.00369337086561098
"98" "m_het_high" "m" "het" "high" 0.0697659819354498 "w_bi_low" "w" "bi" "low" 0.00930738302376828 0.0641963295869187 0.00064933871590253 0.00064933871590253
"99" "m_het_high" "m" "het" "high" 0.0697659819354498 "w_gay_high" "w" "gay" "high" 0.00667285129103791 0.446182685565942 0.000465538022628493 0.000465538022628493
"100" "m_het_high" "m" "het" "high" 0.0697659819354498 "w_gay_low" "w" "gay" "low" NA NA NA NA
"101" "m_het_high" "m" "het" "high" 0.0697659819354498 "w_het_high" "w" "het" "high" 1.93603788560905 3.11600470792583 0.135069584153747 0.135069584153747
"102" "m_het_high" "m" "het" "high" 0.0697659819354498 "w_het_low" "w" "het" "low" 0.79543745288307 0.12684966351762 0.0554944749686205 0.0554944749686205
"103" "m_het_low" "m" "het" "low" 0.414734913843013 "w_bi_high" "w" "bi" "high" 0.00365884916179432 0.62759105013647 0.00151745249188135 0.00151745249188135
"104" "m_het_low" "m" "het" "low" 0.414734913843013 "w_bi_low" "w" "bi" "low" 0.000643269388005947 0.0263756020843552 0.000266786274212494 0.000266786274212494
"105" "m_het_low" "m" "het" "low" 0.414734913843013 "w_gay_high" "w" "gay" "high" 0.000461186668183637 0.183317910029148 0.000191270213094687 0.000191270213094687
"106" "m_het_low" "m" "het" "low" 0.414734913843013 "w_gay_low" "w" "gay" "low" NA NA NA NA
"107" "m_het_low" "m" "het" "low" 0.414734913843013 "w_het_high" "w" "het" "high" 0.133807097295952 1.28023674870621 0.0554944749686205 0.0554944749686205
"108" "m_het_low" "m" "het" "low" 0.414734913843013 "w_het_low" "w" "het" "low" 0.0549757716219932 0.0521172514223749 0.0228003719071005 0.0228003719071005
"109" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "w_bi_high" "w" "bi" "high" 0.92247845094801 0.92247845094801 0.00223046078141731 0.00223046078141731
"110" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "w_bi_low" "w" "bi" "low" 0.159231831529278 0.0380633626087109 0.000385006668734985 0.000385006668734985
"111" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "w_gay_high" "w" "gay" "high" 0.440385026588498 1.02053631019958 0.00106480702017442 0.00106480702017442
"112" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "w_gay_low" "w" "gay" "low" 0.0758600874417976 0.0319070728018141 0.000183422116516577 0.000183422116516577
"113" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "w_het_high" "w" "het" "high" 0.497467540014166 0.0277487645547667 0.00120282683773204 0.00120282683773204
"114" "w_bi_high" "w" "bi" "high" 0.00241790014620409 "w_het_low" "w" "het" "low" 0.130165760126669 0.000719407055867411 0.00031472781044104 0.000314727810441039
"115" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "w_bi_high" "w" "bi" "high" 0.0380633626087109 0.159231831529278 0.000385006668734985 0.000385006668734985
"116" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "w_bi_low" "w" "bi" "low" 0.00657023363106143 0.00657023363106143 6.64571805993469e-05 6.64571805993469e-05
"117" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "w_gay_high" "w" "gay" "high" 0.0181711940666564 0.176157899025404 0.000183799601902204 0.000183799601902204
"118" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "w_gay_low" "w" "gay" "low" 0.00313014359615474 0.00550757758704242 3.16610534651473e-05 3.16610534651473e-05
"119" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "w_het_high" "w" "het" "high" 0.0205265362482595 0.00478979926109865 0.000207623625449259 0.000207623625449259
"120" "w_bi_low" "w" "bi" "low" 0.0101148885003364 "w_het_low" "w" "het" "low" 0.00537090760423533 0.000124179055893534 5.43261315624493e-05 5.43261315624493e-05
"121" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "w_bi_high" "w" "bi" "high" 1.02053631019958 0.440385026588498 0.00106480702017442 0.00106480702017442
"122" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "w_bi_low" "w" "bi" "low" 0.176157899025404 0.0181711940666564 0.000183799601902204 0.000183799601902204
"123" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "w_gay_high" "w" "gay" "high" 0.487197191045388 0.487197191045388 0.000508331731119821 0.000508331731119821
"124" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "w_gay_low" "w" "gay" "low" 0.0839238831538115 0.0152322225952788 8.75644884452961e-05 8.7564488445296e-05
"125" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "w_het_high" "w" "het" "high" 0.55034747663578 0.0132470741226427 0.000574221466497799 0.000574221466497799
"126" "w_gay_high" "w" "gay" "high" 0.00104337984796071 "w_het_low" "w" "het" "low" 0.144002154649227 0.000343440104319552 0.000150248946223925 0.000150248946223925
"127" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "w_bi_high" "w" "bi" "high" 0.0319070728018141 0.0758600874417976 0.000183422116516577 0.000183422116516577
"128" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "w_bi_low" "w" "bi" "low" 0.00550757758704242 0.00313014359615474 3.16610534651473e-05 3.16610534651473e-05
"129" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "w_gay_high" "w" "gay" "high" 0.0152322225952788 0.0839238831538115 8.75644884452961e-05 8.7564488445296e-05
"130" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "w_gay_low" "w" "gay" "low" 0.002623880623195 0.002623880623195 1.50837320735326e-05 1.50837320735326e-05
"131" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "w_het_high" "w" "het" "high" 0.0172066165875846 0.00228192181981397 9.89145589188794e-05 9.89145589188794e-05
"132" "w_gay_low" "w" "gay" "low" 0.00574863503323779 "w_het_low" "w" "het" "low" 0.00450222807957947 5.91604954113164e-05 2.58816660658975e-05 2.58816660658975e-05
"133" "w_het_high" "w" "het" "high" 0.0433470411036882 "w_bi_high" "w" "bi" "high" 0.0277487645547667 0.497467540014166 0.00120282683773204 0.00120282683773204
"134" "w_het_high" "w" "het" "high" 0.0433470411036882 "w_bi_low" "w" "bi" "low" 0.00478979926109865 0.0205265362482595 0.000207623625449259 0.000207623625449259
"135" "w_het_high" "w" "het" "high" 0.0433470411036882 "w_gay_high" "w" "gay" "high" 0.0132470741226427 0.55034747663578 0.000574221466497799 0.000574221466497799
"136" "w_het_high" "w" "het" "high" 0.0433470411036882 "w_gay_low" "w" "gay" "low" 0.00228192181981397 0.0172066165875846 9.89145589188794e-05 9.89145589188794e-05
"137" "w_het_high" "w" "het" "high" 0.0433470411036882 "w_het_high" "w" "het" "high" 0.0149641540431713 0.0149641540431713 0.00064865180039127 0.00064865180039127
"138" "w_het_high" "w" "het" "high" 0.0433470411036882 "w_het_low" "w" "het" "low" 0.00391547252636121 0.000387956659565769 0.000169724148540542 0.000169724148540542
"139" "w_het_low" "w" "het" "low" 0.437482240234025 "w_bi_high" "w" "bi" "high" 0.000719407055867411 0.130165760126669 0.000314727810441039 0.000314727810441039
"140" "w_het_low" "w" "het" "low" 0.437482240234025 "w_bi_low" "w" "bi" "low" 0.000124179055893534 0.00537090760423533 5.43261315624493e-05 5.43261315624493e-05
"141" "w_het_low" "w" "het" "low" 0.437482240234025 "w_gay_high" "w" "gay" "high" 0.000343440104319552 0.144002154649227 0.000150248946223925 0.000150248946223925
"142" "w_het_low" "w" "het" "low" 0.437482240234025 "w_gay_low" "w" "gay" "low" 5.91604954113164e-05 0.00450222807957947 2.58816660658975e-05 2.58816660658975e-05
"143" "w_het_low" "w" "het" "low" 0.437482240234025 "w_het_high" "w" "het" "high" 0.000387956659565769 0.00391547252636121 0.000169724148540542 0.000169724148540542
"144" "w_het_low" "w" "het" "low" 0.437482240234025 "w_het_low" "w" "het" "low" 0.000101511494573382 0.000101511494573382 4.44094760554672e-05 4.44094760554672e-05
